"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","should compare two objects excluding keys in nested objects","firefox","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","2","should compare two objects with array fields custom comparator","chromium","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","30094","Register user","firefox","2026-01-27","broken","2026-01-27","Login Tests","e2e/login.spec.ts","",""
"","16","should compare two objects with array fields ignoring order","chromium","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","2378","Register user","chromium","2026-01-27","passed","2026-01-27","Login Tests","e2e/login.spec.ts","",""
"","8709","Decrease item quantity in basket","firefox","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","8485","Remove product from basket","chromium","2026-01-27","passed","2026-01-27","Basket - Quantity Management","e2e/basket.spec.ts","",""
"","9185","Complete Purchase Flow - Successful Checkout","chromium","2026-01-27","failed","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","8","should compare two objects with array fields ignoring order","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","140","API Login","chromium","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","4","should compare two objects errors","firefox","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","10","should compare two objects with error","chromium","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","3","should compare two objects excluding keys in nested objects","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","48","Register user API","webkit","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","6438","Submit Customer Feedback with Long Comment","firefox","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","18","Product search API request - unauthorized","webkit","2026-01-27","failed","2026-01-27","API Tests","api/api.spec.ts","",""
"","73","API Login","webkit","2026-01-27","passed","2026-01-27","API Tests","api/api.spec.ts","",""
"","2664","Complete Purchase Flow - Successful Checkout - last item","webkit","2026-01-27","skipped","2026-01-27","Products - Add to Basket","e2e/products.spec.ts","",""
"","5450","Submit Customer Feedback with Emoji/Unicode","chromium","2026-01-27","passed","2026-01-27","Customer Feedback System Tests","feedback/submit-rating.spec.ts","",""
"","4","should compare two objects with error","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","3008","Login negative","firefox","2026-01-27","failed","2026-01-27","Login Tests","e2e/login.spec.ts","",""
"","4","should compare two objects errors","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","1","should compare two objects excluding keys","webkit","2026-01-27","passed","2026-01-27","Comparator","comparator.spec.ts","",""
"","5437","No products available","webkit","2026-01-27","passed","2026-01-27","Products - Not available","e2e/products-not-available.spec.ts","",""
